,player_id,season,games,yellow_cards,red_cards,goals,assists,minutes_played
640,3455,2023,4,0,0,1,0,144
641,3458,2012,15,1,0,5,4,1090
642,3458,2013,27,2,0,8,2,2203
643,3458,2014,18,3,0,4,6,1143
644,3458,2015,25,1,0,1,3,1301
645,3461,2012,1,0,0,0,0,14
646,3461,2013,12,1,0,2,0,811
647,3466,2021,1,0,0,0,0,90
648,3467,2012,14,0,0,0,1,938
649,3467,2013,7,0,0,1,0,356
650,3467,2015,4,0,0,0,0,128
651,3473,2013,5,0,0,0,0,480
652,3473,2014,2,0,0,0,0,135
653,3476,2012,11,0,0,0,0,990
654,3476,2013,14,1,0,0,0,1290
655,3476,2014,2,0,0,0,0,180
656,3480,2012,20,2,0,3,3,1506
657,3480,2013,20,6,0,5,0,1715
658,3495,2012,20,1,0,0,0,1800
659,3495,2013,18,1,0,0,1,1592
660,3507,2012,16,2,0,0,0,1440
661,3507,2013,38,1,0,0,0,3300
662,3507,2014,28,4,1,0,0,2436
663,3507,2015,8,0,0,0,0,665
664,3507,2016,4,0,0,0,0,341
665,3515,2012,17,7,0,3,3,1517
666,3515,2013,18,4,0,5,1,1580
667,3525,2012,11,1,0,0,0,509
668,3525,2013,24,0,1,0,0,1812
669,3525,2014,34,5,0,0,0,3060
670,3525,2015,36,4,0,2,1,3178
671,3525,2016,18,1,0,0,1,1588
672,3530,2012,12,2,0,0,0,982
673,3530,2013,31,5,0,1,3,2155
674,3530,2014,8,1,0,0,0,311
675,3531,2012,4,0,0,1,1,186
676,3531,2013,2,1,0,1,0,171
677,3534,2012,19,0,0,0,0,1710
678,3534,2013,8,1,0,0,0,750
679,3535,2013,1,0,0,0,0,15
680,3539,2014,15,1,0,0,0,1350
